Date;Open;High;Low;Close;Volume
2021-11-25;732.00;738.50;730.20;734.70;226209
2021-11-24;721.00;729.30;716.20;726.10;384226
2021-11-23;722.00;729.20;710.40;718.10;441531
2021-11-22;732.30;735.40;726.50;728.30;297513
2021-11-19;733.00;741.60;724.10;733.50;698218
2021-11-18;729.00;735.90;727.50;728.50;458866
2021-11-17;729.00;730.60;722.10;726.10;420189
2021-11-16;724.50;731.70;724.40;729.70;419771
2021-11-15;719.30;724.30;716.00;720.80;433662
2021-11-12;706.00;726.60;705.90;722.90;412199
2021-11-11;694.70;706.00;694.00;705.40;272715
2021-11-10;703.20;704.40;688.90;698.60;349382
2021-11-09;703.20;712.30;698.90;707.30;337111
2021-11-08;714.90;718.70;705.20;707.40;317489
2021-11-05;691.20;711.40;689.60;708.90;524883
2021-11-04;687.00;693.30;685.60;692.50;348282
2021-11-03;684.20;688.60;680.30;682.50;350677
2021-11-02;684.50;689.80;680.70;684.80;285336
2021-11-01;680.00;685.30;674.20;683.40;320108
2021-10-29;667.30;677.20;662.00;677.20;434079
2021-10-28;662.50;672.40;661.00;671.70;302241
2021-10-27;659.60;667.50;659.60;664.30;252036
2021-10-26;660.40;667.60;656.60;665.00;293673
2021-10-25;667.90;669.40;657.80;659.80;239985
2021-10-22;663.00;676.70;662.20;667.30;423275
2021-10-21;651.10;660.90;646.40;659.70;264050
2021-10-20;643.70;659.10;639.50;656.10;408236
2021-10-19;653.00;654.40;641.10;646.00;305206
2021-10-18;659.00;659.30;638.00;650.00;414414
2021-10-15;672.00;674.00;664.80;664.80;542414
2021-10-14;660.00;668.60;651.10;667.20;460568
2021-10-13;636.00;658.50;630.60;653.90;627178
2021-10-12;627.00;635.50;624.60;633.90;369383
2021-10-11;625.30;634.10;619.90;631.70;261049
2021-10-08;638.40;640.70;624.50;627.70;386925
2021-10-07;634.50;641.00;633.30;637.90;439881
2021-10-06;625.00;627.60;615.10;624.80;458312
2021-10-05;623.10;634.00;620.90;632.50;329281
2021-10-04;622.50;632.00;617.50;621.10;346834
2021-10-01;614.00;631.50;610.00;630.00;448089
2021-09-30;631.00;634.30;619.50;620.10;596940
2021-09-29;626.00;632.80;623.30;625.50;355217
2021-09-28;635.00;636.50;616.70;617.90;627324
2021-09-27;648.30;651.40;633.30;637.50;297614
2021-09-24;647.50;648.50;638.40;642.90;371010
2021-09-23;649.70;656.40;643.70;654.10;392213
2021-09-22;646.50;649.10;639.10;643.30;403326
2021-09-21;622.60;636.00;621.00;636.00;490753
2021-09-20;615.00;623.00;605.40;618.70;764691
2021-09-17;634.30;645.20;627.00;631.00;863299
2021-09-16;623.50;634.60;621.30;628.00;475856
2021-09-15;645.20;645.20;617.70;621.20;706373
2021-09-14;654.30;655.50;638.20;646.80;397133
2021-09-13;666.00;669.00;654.10;657.00;349720
2021-09-10;670.50;674.50;662.10;663.50;388397
2021-09-09;641.90;661.10;638.90;658.40;411139
2021-09-08;652.00;654.80;643.40;648.70;385265
2021-09-07;653.00;658.80;650.20;653.00;340478
2021-09-06;639.60;650.50;637.20;648.70;262291
2021-09-03;646.60;646.60;633.20;634.90;393248
2021-09-02;647.60;653.10;644.10;647.00;320818
2021-09-01;631.90;651.00;631.60;646.80;596692
2021-08-31;627.10;629.00;624.10;626.80;541313
2021-08-30;625.00;629.80;622.80;625.00;291687
2021-08-27;621.00;624.30;616.90;623.10;340808
2021-08-26;620.00;623.50;612.40;621.60;425086
2021-08-25;625.00;628.20;620.00;622.10;412050
2021-08-24;646.00;647.20;624.30;624.30;500424
2021-08-23;628.50;641.80;626.20;636.60;728161
2021-08-20;613.20;624.40;610.50;620.00;843005
2021-08-19;635.30;640.00;611.00;613.10;1493477
2021-08-18;690.50;691.40;653.70;654.90;699154
